UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
si señor,@Gilangdepee,2021-05-02T14:55:39.000Z,"Membalas 
@KrisnaRiandika
 dan 
@idextratimeNgopo iku demo ruu cipta kerja to?",,1,,
BEM UNS 2021,@BEMUNS,2021-05-02T13:16:42.000Z,"Kasus pembungkaman melalui terbitnya edaran   
@Kemdikbud_RI
 kepada mahasiswa saat demonstrasi RUU Cipta Kerja 2020 lalu, diharapkan tidak terulang lagi.. Sebagai lembaga penyelenggara pendidikan sudah seharusnya kemendikbud bisa menegakkan berpendapat mahasiswa.#Hardiknas2021",,1,,2
BEM UNS 2021,@BEMUNS,2021-05-02T13:16:32.000Z,"Mahasiswa tidak dapat hanya terpaku dalam belajar sedang ketidakadilan berada di dalamnya. Seperti aksi yang mengusung penolakan RUU cipta kerja Omnibus Law, mahasiswa ada untuk membersamai buruh, petani serta masyarakat terdampak di dalamnya. #Hardiknas2021",,1,,3
BEM UNS 2021,@BEMUNS,2021-05-02T13:16:29.000Z,"Tahun 2020 
@Kemdikbud_RI
 menerbitkan surat Himbauan yang berisi mengenai Himbauan akan larangan mahasiswa yang akan turun aksi tolak Omnibus Law RUU Cipta Kerja yang dituangkan dalam surat edaran (Dikti) Kemendikbud Nomor 1035/E/KM/2020. #Hardiknas2021",,1,,3
𝓕..Ͳ,@PingkyLiza,2021-05-02T01:37:23.000Z,"Membalas 
@uyaboiraKlo sy sadar seh sy juga masih pekerja yg berarti sama saja spt buruh. Sy jg ikut vokal kritik draft RUU Cipta Kerja utk pasal2 yg kurang adil / kelak bisa disalahgunakan krn kurang detail bagi pekerja/buruh.
Tp sy jg berharap smua bisa belajar bersyukur termasuk diri sy.",🅿 💖 💎,,,
BEM TEKNOKRAT,@BEMTeknokrat_,2021-05-01T14:12:55.000Z,"[MEMPERINGATI HARI BURUH INTERNASIONAL]

Omnibus law RUU Cipta Kerja yang menuai banyak tentangan dan penolakan diberbagai elemen masyarakat, resmi disahkan menjadi undang-undang melalui rapat paripurna DPR RI sejak 5 Oktober 2020 lalu.",,1,1,3
Adinda Zahrany,@Adinda_Zahran1,2021-05-01T08:58:14.000Z,"Sebut Anies Baswedan hingga Ridwan Kamil Tolak RUU Cipta Kerja, Ketua KSPI: Rugikan Kaum Buruh

#UtangNegaraSundulLangitSebut Anies Baswedan hingga Ridwan Kamil Tolak RUU Cipta Kerja, Ketua KSPI: Rugikan Kaum Buruh -...
Dalam demo buruh yang dilakukan saat May Day, ketua KSPI sebut bila UU Cipta Kerja dapat penolakan oleh Ridwan Kamil hingga Anies Baswedan
pikiran-rakyat.com",,3,14,51
Pikiran Rakyat,@pikiran_rakyat,2021-05-01T08:41:03.000Z,"Sebut Anies Baswedan hingga Ridwan Kamil Tolak RUU Cipta Kerja, Ketua KSPI: Rugikan Kaum BuruhSebut Anies Baswedan hingga Ridwan Kamil Tolak RUU Cipta Kerja, Ketua KSPI: Rugikan Kaum Buruh -...
Dalam demo buruh yang dilakukan saat May Day, ketua KSPI sebut bila UU Cipta Kerja dapat penolakan oleh Ridwan Kamil hingga Anies Baswedan
pikiran-rakyat.com",,,1,
Indopolitika.com,@Indopolitika,2021-05-01T05:46:28.000Z,"Nisan ‘RIP RUU Cipta Kerja’, Alat Aspirasi Massa Buruh di May Day 2021Nisan 'RIP RUU Cipta Kerja', Alat Aspirasi Massa Buruh di May Day 2021 | Indopolitika.com
INDOPOLITIKA.COM – Sejumlah massa aksi yang memperingati Hari Buruh atau May Day mulai memadati kawasan Selengkapnya...
indopolitika.com",,,,
suaradotcom,@suaradotcom,2021-04-29T12:29:35.000Z,"Sebelumnya Syahganda Nainggolan ditangkap karena diduga melanggar UU ITE dengan cara menyebarkan provokasi hingga menyulut demo RUU Cipta Kerja rusuh September 2020.Petinggi KAMI Syahganda Nainggolan Divonis 10 Bulan Bui - Suara Jabar
Sebelumnya Syahganda Nainggolan ditangkap karena diduga melanggar UU ITE dengan cara menyebarkan provokasi hingga menyulut demo RUU Cipta Kerja rusuh September 2020.
jabar.suara.com",,,1,1
BEM FT Unsoed,@bemftunsoed,2021-04-29T10:56:01.000Z,"[Menuju Mayday 2021]

Tepat pada tanggal 5 Oktober 2020, Omnibus Law RUU Cipta Kerja telah resmi disahkan menjadi Undang-Undang, padahal RUU tersebut mendapat penolakan dari berbagai elemen masyarakat.",,1,,
indah kiat,@kiat_indah,2021-04-28T15:47:35.000Z,meluruskan 12 hoax omnibus law RUU cipta kerja,,,,
semangagjuang,@semangagjuang,2021-04-28T14:14:22.000Z,"Setelah pemberlakuan undang-undang Cipta kerja peraturan pelaksanaan kegiatan berusaha berubah jadi berbasis risiko

#ruuciptakerja",,,,1
