UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Mata Najwa,@MataNajwa,2020-10-15T02:10:27.000Z,"Mata Najwa - Cipta Kerja: Mana Fakta Mana Dusta (Part 5)
https://bit.ly/2GPZaFK

Menurut Ahli Hukum Tata Negara UGM Zainal Arifin Mochtar, ketidakterbukaan informasi atas proses RUU Cipta Kerja bisa menjadi sumber timbulnya hoaks.Narasi.tv
Menurut Ahli Hukum Tata Negara UGM Zainal Arifin Mochtar, ketidakterbukaan informasi atas proses RUU Cipta Kerja bisa menjadi sumber timbulnya hoaks.
narasi.tv",,6,11,48
avatarkora,@avatarkora4,2020-10-15T08:31:58.000Z,Hoax Omnibus Law RUU Cipta Kerja,,1,1,
bagus02,@bagus0247913712,2020-10-15T18:55:32.000Z,"*MAU TAHU UU OMNIBUSLAW LEBIH LENGKAP ?*
*SAKSIKAN SECARA LIVE ONLINE*
 *DISKUSI MEDIA UMAT : OMNIBUS LAW » SUNGGUH CILAKA*

Omnibus Law Cipta Kerja *akhirnya disetujui oleh DPR RI* sebagai undang-undang. RUU ini *diusulkan oleh Presiden Jokowi* untuk segera disetujui, bah",🟥,,,
AirNav Indonesia,@AirNav_Official,2020-10-14T04:05:46.000Z,"Halo Insan BUMN!

Tahukah kamu bahwa pembahasan RUU Cipta Kerja dilakukan sebanyak 64 kali?

Pembahasan tersebut terdiri dari 2 kali Rapat Kerja (Raker), 56 kali Rapat Panitia Kerja (Panja), dan 6 kali Rapat Tim Perumus dan Tim Sinkronisasi.
#OmnibusLawTransparan
#AirNavIndonesia",,4,66,53
Zainulloh Muslim,@Lub4b1,2020-10-16T22:45:49.000Z," *ISLAMIC LAWYER FORUM #5 : ""UU OMNIBUS LAW CIPTA KERJA, UNTUK SIAPA?""*

DPR RI akhirnya ketok palu, menyetujui RUU Omnibus Law Cipta Kerja sebagai Undang-undang, pada 5 Oktober 2020 yang lalu.

RUU atas usulan pemerintah ini, dari awal terkesan terburu-buru dalam prosesny",🔴,,6,4
Polsek Dolok Masihul,@polsek_dolok,2020-10-14T06:38:10.000Z,"Kanit Reskrim IPDA Zulfan Ahmadi, SH dan Personil Polsek Dolok Masihul  Mensosialisasikan RUU CIPTA KERJA ( OMNIBUS LAW) dan Meluruskan 12 Berita HOAKS Ke  PT Tunas Harapan Sawit",,,,
Media Maju,@media_maju,2020-10-12T12:07:59.000Z,#TolakProvokasiKAMIFPI Fakta Omnibus Law. RUU Cipta kerja,,,,
silviaAnggraini,@silviaA03016926,2020-10-14T11:58:28.000Z,Dengan adanya Omnibus Law RUU Cipta kerja menjadikan Indonesia menjadi lebih baik,,,,1
Orang Barabai 01,@01Barabai,2020-10-16T19:52:27.000Z," *ISLAMIC LAWYER FORUM #5 : ""UU OMNIBUS LAW CIPTA KERJA, UNTUK SIAPA?""*

DPR RI akhirnya ketok palu, menyetujui RUU Omnibus Law Cipta Kerja sebagai Undang-undang, pada 5 Oktober 2020 yang lalu.

RUU atas usulan pemerintah ini, dari awal terkesan terburu-buru dalam prosesny",🔴,,1,2
Rachel Sian,@RachelSian2,2020-10-13T04:02:55.000Z,"Faktanya, pesangon dan umr masih ada di RUU cipta kerja",,,,
Christine,@rembulaannn,2020-10-18T02:00:00.000Z,"@airlangga_hrt
  :
Tujuan dr RUU Cipta Kerja...

1. Peningkatan Lapangan kerja
2. Peningkatan kompetensi
3. Kesejahteraan pekerja
4. Peningkat produktifitas kerja
5. Peningkatan investasi

OmnibusLaw Mantap
#CiptaKerjaBermanfaat",,6,29,38
Meylinda,@Meylindarichez,2020-10-13T03:35:15.000Z,Isu Vs Fakta RUU Cipta Kerja,,,,
silviaAnggraini,@silviaA03016926,2020-10-14T11:58:21.000Z,Dengan adanya Omnibus Law RUU Cipta kerja menjadikan Indonesia menjadi lebih baik,,,,1
ety,@ety_h_akt,2020-10-17T23:01:59.000Z," ISLAMIC LAWYER FORUM #5 : ""UU OMNIBUS LAW CIPTA KERJA, UNTUK SIAPA?""

DPR RI akhirnya ketok palu, menyetujui RUU Omnibus Law Cipta Kerja sebagai Undang-undang, pada 5 Oktober 2020 yang lalu.

RUU atas usulan pemerintah ini, dari awal terkesan terburu-buru dalam prosesnya.",🔴,,,
irrawardy manany,@irrawardy,2020-10-18T05:34:07.000Z,Omnibus Law RUU Cipta Kerja akan bermanfaat besar untuk mendorong pemulihan ekonomi nasional dan membawa Indonesia memasuki era baru perekonomian global.,,,,
Wiwid Hanifa,@HanifaWiwid,2020-10-18T06:07:45.000Z,"RUU Ciptakerja Mudahkan UMKM
#CiptaKerjaBermanfaat",,,,
viani melisa,@MelisaViani,2020-10-13T04:02:45.000Z,"Faktanya, pesangon dan umr masih ada di RUU cipta kerja",,1,,
Mitha Ayu,@MithaAy77996999,2020-10-13T03:34:39.000Z,Isu Vs Fakta RUU Cipta Kerja,,,,
Meylinda,@Meylindarichez,2020-10-13T03:33:16.000Z,RUU Omnibus Law Cipta kerja Memacu Pertumbuhan Kegiatan Berusaha,,,,
Батюшка,@trvefather,2020-10-13T01:03:58.000Z,"Mindblown, aku cuman sebatas mba nana dilaporkan ke polisi sebagai pengalihan isu RUU ciptakerja, ternyata RUU sendiri lah pengalihan isunya. Cek aja isi perpres no 99",,1,,
Amanda lianti,@LiantiAmanda,2020-10-13T04:02:30.000Z,"Faktanya, pesangon dan umr masih ada di RUU cipta kerja",,,,
Mitha Ayu,@MithaAy77996999,2020-10-13T03:30:22.000Z,Fakta-fakta RUU Cipta Kerja,,,,
GSHR Udayana,@GSHRUdayana,2020-10-18T10:37:14.000Z,"NONGKI 20 – Menolak Lupa RUU PKS: Urgensi dan Kontroversi

UU Omnimbus Law Cipta Kerja telah disahkan, meskipun menuai banyak protes. Sementara itu, RUU PKS justru dikeluarkan dari daftar Program Legislasi Nasional (Prolegnas) 2020.",,1,6,7
Harian Kompas,@hariankompas,2020-10-15T00:56:53.000Z,"Persetujuan pengesahan RUU Cipta Kerja memperlihatkan kemunduran praksis demokrasi dalam lembaga publik. Pengesahan itu sekaligus menjadi salah satu penanda utama meningkatnya tirani mayoritas politik. 

#Opini #adadikompasTirani Mayoritas Politik dan RUU Cipta Kerja
Persetujuan pengesahan RUU Cipta Kerja memperlihatkan kemunduran praksis demokrasi dalam lembaga publik. Pengesahan itu sekaligus menjadi salah satu penanda utama meningkatnya tirani mayoritas...
kompas.id",,,1,
Macan Kimpet,@MacanKimpet4,2020-10-12T05:37:28.000Z,Ali Ngabalin: RUU Cipta Kerja Sudah Dibahas 4 Tahun,,1,,
Putra_Prayoga448,@prayoga448,2020-10-15T04:50:47.000Z,Menangkal hoax tentang ruu cipta kerja di medsos,,,,
Humasngablak,@humasngablak,2020-10-19T10:03:33.000Z,"Masyarakat Kab. Magelang Cinta Damai dan Menolak Demo Anarkis. Aliansi Masyarakat Kab. Magelang Deklarasi Cintai Damai Menolak Demo Anarkis menyikapi perkembangan situasi Demo Anarkis menolak pengesahan RUU Cipta Kerja di beberapa wilayah, Senin(19 /10/2020)",,,,2
Andi Sitti Latifah,@latifah_sitti,2020-10-19T23:54:10.000Z,"Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka, ternyata eh ternyata pimpinan DPR mengaku bahwa dia selama ini hanya mengecek secara acak draft final UU Cipta Kerja. Astaghfirullah!! Tonton fakta selengkapnya dalam video serba-serbi pagi ini di channel YouTube MMC",,,,3
Meylinda,@Meylindarichez,2020-10-13T03:31:40.000Z,Fakta RUU Cipta Kerja!!,,,,
Meylinda,@Meylindarichez,2020-10-13T03:27:51.000Z,Hati-hati Terhadap Isu Hoax Terkait RUU Cipta Kerja,,,,
irrawardy manany,@irrawardy,2020-10-18T22:52:20.000Z,Omnibus Law RUU Cipta Kerja akan bermanfaat besar untuk mendorong pemulihan ekonomi nasional dan membawa Indonesia memasuki era baru perekonomian global.,,,,
